,um,reflectance,uncertainty
0,0.7025,0.002187,0.000163
1,0.7075,0.002256,0.000116
2,0.7125,0.002229,6e-05
3,0.7175,0.002258,0.000121
4,0.7225,0.002352,9.8e-05
5,0.7275,0.002439,6.5e-05
6,0.7325,0.002432,4.9e-05
7,0.7375,0.002449,9.1e-05
8,0.7425,0.002537,8.1e-05
9,0.7475,0.002596,5.6e-05
10,0.7525,0.002627,0.000104
11,0.7575,0.002651,0.000146
12,0.7625,0.002652,9.5e-05
13,0.7675,0.002759,8.4e-05
14,0.7725,0.002729,0.000102
15,0.7775,0.002768,0.000143
16,0.7825,0.002756,0.000165
17,0.7875,0.002691,0.000147
18,0.7925,0.002752,0.000121
19,0.7975,0.002813,0.000126
20,0.8025,0.002896,0.000217
21,0.8075,0.002932,0.000244
22,0.8125,0.002967,0.000163
23,0.8175,0.003038,0.000128
24,0.8225,0.003064,8.9e-05
25,0.8275,0.003018,9.3e-05
26,0.8325,0.003048,7.6e-05
27,0.8375,0.003058,8e-05
28,0.8425,0.003096,8e-05
29,0.8475,0.003127,6.8e-05
30,0.8525,0.003134,0.000163
31,0.8575,0.003132,0.00018
32,0.8625,0.003098,0.000214
33,0.8675,0.003281,0.00013
34,0.8725,0.003302,0.000143
35,0.8775,0.003308,0.000148
36,0.8825,0.0033,0.000158
37,0.8875,0.003354,0.000162
38,0.8925,0.003393,0.000127
39,0.8975,0.003417,8.1e-05
40,0.9025,0.003455,7.7e-05
41,0.9075,0.003434,0.000104
42,0.9125,0.003454,0.000119
43,0.9175,0.003441,0.000152
44,0.9225,0.003452,0.000182
45,0.9275,0.003469,0.000192
46,0.9325,0.003517,0.00018
47,0.9375,0.003582,0.000146
48,0.9425,0.003552,0.00012
49,0.9475,0.003559,0.000127
50,0.9525,0.003594,0.000108
51,0.9575,0.003633,0.000127
52,0.9625,0.003704,7.8e-05
53,0.9675,0.003697,7.8e-05
54,0.9725,0.003721,6.7e-05
55,0.9775,0.003758,5.8e-05
56,0.9825,0.003782,0.000101
57,0.9875,0.003834,0.000101
58,0.9925,0.003847,9.2e-05
59,0.9975,0.00382,0.000104
60,1.0025,0.003834,9.7e-05
61,1.0075,0.003857,0.000112
62,1.0125,0.003872,0.000138
63,1.0175,0.003916,0.000123
64,1.0225,0.003928,0.000115
65,1.0275,0.003972,0.000145
66,1.0325,0.004003,0.000145
67,1.0375,0.004015,0.000148
68,1.0425,0.004001,0.000122
69,1.0475,0.003981,0.000134
70,1.0525,0.003997,0.000122
71,1.0575,0.004009,0.000173
72,1.0625,0.004023,0.000134
73,1.0675,0.004026,0.000151
74,1.0725,0.004024,0.000173
75,1.0775,0.004025,0.000169
76,1.0825,0.004052,0.000162
77,1.0875,0.00405,0.000175
78,1.0925,0.004092,0.000163
79,1.0975,0.004081,0.000168
80,1.1025,0.004107,0.000165
81,1.1075,0.004152,0.000151
82,1.1125,0.00418,0.000158
83,1.1175,0.004188,0.000193
84,1.1225,0.004169,0.000206
85,1.1275,0.004189,0.000208
86,1.1325,0.004181,0.00021
87,1.1375,0.004185,0.00022
88,1.1425,0.004196,0.000263
89,1.1475,0.004184,0.000248
90,1.1525,0.004233,0.000228
91,1.1575,0.004229,0.000226
92,1.1625,0.004209,0.000222
93,1.1675,0.004235,0.000218
94,1.1725,0.004189,0.000261
95,1.1775,0.004183,0.000269
96,1.1825,0.00423,0.000272
97,1.1875,0.004257,0.000275
98,1.1925,0.00435,0.000241
99,1.1975,0.004366,0.000245
100,1.2025,0.004352,0.000245
101,1.2075,0.004349,0.000235
102,1.2125,0.004327,0.000254
103,1.2175,0.004332,0.000245
104,1.2225,0.00434,0.000244
105,1.2275,0.004386,0.000248
106,1.2325,0.004388,0.000238
107,1.2375,0.004391,0.000222
108,1.2425,0.004446,0.000249
109,1.2475,0.004432,0.000242
110,1.2525,0.004437,0.000233
111,1.2575,0.004438,0.000242
112,1.2625,0.004483,0.000267
113,1.2675,0.004501,0.000262
114,1.2725,0.004478,0.000253
115,1.2775,0.004446,0.000268
116,1.2825,0.004378,0.000275
117,1.2875,0.004384,0.000277
118,1.2925,0.004433,0.000241
119,1.2975,0.004486,0.000246
120,1.3025,0.004552,0.000198
121,1.3075,0.004592,0.000184
122,1.3125,0.004547,0.000229
123,1.3175,0.004488,0.000275
124,1.3225,0.004471,0.000351
125,1.3275,0.004448,0.000385
126,1.3325,0.004438,0.000366
127,1.3375,0.004481,0.000321
128,1.3425,0.00448,0.000305
129,1.3475,0.004496,0.000294
130,1.3525,0.004526,0.000286
131,1.3575,0.004578,0.000292
132,1.3625,0.004587,0.000294
133,1.3675,0.004583,0.000296
134,1.3725,0.004588,0.000306
135,1.3775,0.004572,0.000317
136,1.3825,0.004586,0.000322
137,1.3875,0.00459,0.000318
138,1.3925,0.004616,0.000307
139,1.3975,0.004617,0.000302
140,1.4025,0.004631,0.000293
141,1.4075,0.004608,0.000316
142,1.4125,0.004559,0.000321
143,1.4175,0.004545,0.000302
144,1.4225,0.004533,0.000316
145,1.4275,0.004535,0.000315
146,1.4325,0.004572,0.000316
147,1.4375,0.00461,0.00029
148,1.4425,0.004616,0.000269
149,1.4475,0.004607,0.000283
150,1.4525,0.004517,0.000292
151,1.4575,0.004491,0.000288
152,1.4625,0.004491,0.00029
153,1.4675,0.004465,0.000309
154,1.4725,0.004435,0.000301
155,1.4775,0.004407,0.000258
156,1.4825,0.004408,0.00027
157,1.4875,0.004444,0.000246
158,1.4925,0.004433,0.000239
159,1.4975,0.004448,0.00021
160,1.5025,0.004452,0.000194
161,1.5075,0.004465,0.000204
162,1.5125,0.004447,0.000215
163,1.5175,0.004448,0.000214
164,1.5225,0.004443,0.000219
165,1.5275,0.004452,0.000217
166,1.5325,0.004444,0.000241
167,1.5375,0.004462,0.000255
168,1.5425,0.00447,0.000253
169,1.5475,0.004492,0.000261
170,1.5525,0.004652,0.000129
171,1.5575,0.00447,0.000207
172,1.5625,0.004598,0.000141
173,1.5675,0.004495,0.000236
174,1.5725,0.0044,0.000301
175,1.5775,0.004424,0.000308
176,1.5825,0.00445,0.000538
177,1.5875,0.004504,0.000587
178,1.5925,0.004556,0.000586
179,1.5975,0.004566,0.000556
180,1.6025,0.004572,0.000572
181,1.6075,0.004496,0.000599
182,1.6125,0.004481,0.000576
183,1.6175,0.004517,0.000601
184,1.6225,0.004504,0.000583
185,1.6275,0.004486,0.000568
186,1.6325,0.004471,0.000558
187,1.6375,0.00444,0.000546
188,1.6425,0.004457,0.000331
189,1.6475,0.004467,0.000315
190,1.6525,0.004467,0.000342
191,1.6575,0.004507,0.000327
192,1.6625,0.004535,0.000315
193,1.6675,0.004603,0.000282
194,1.6725,0.004698,0.000217
195,1.6775,0.00471,0.000312
196,1.6825,0.004678,0.000377
197,1.6875,0.004649,0.000517
198,1.6925,0.004599,0.000278
199,1.6975,0.004602,0.000267
200,1.7025,0.00462,0.000118
201,1.7075,0.004579,0.000177
202,1.7125,0.004591,0.000212
203,1.7175,0.004584,0.000293
204,1.7225,0.004631,0.000279
205,1.7275,0.004648,0.000241
206,1.7325,0.004663,0.000211
207,1.7375,0.004703,0.000172
208,1.7425,0.004721,0.000208
209,1.7475,0.00471,0.000229
210,1.7525,0.004771,0.000205
211,1.7575,0.004756,0.000222
212,1.7625,0.004699,0.000235
213,1.7675,0.004697,0.000292
214,1.7725,0.004699,0.000302
215,1.7775,0.004701,0.000295
216,1.7825,0.004732,0.00031
217,1.7875,0.004771,0.000285
218,1.7925,0.004781,0.0002
219,1.7975,0.004799,0.000199
220,1.8025,0.004737,0.000259
221,1.8075,0.00471,0.000272
222,1.8125,0.004798,0.000231
223,1.8175,0.004761,0.000225
224,1.8225,0.004727,0.000235
225,1.8275,0.004717,0.000275
226,1.8325,0.004714,0.000309
227,1.8375,0.004757,0.000257
228,1.8425,0.00486,0.0003
229,1.8475,0.004885,0.000236
230,1.8525,0.00486,0.000237
231,1.8575,0.004821,0.000267
232,1.8625,0.004753,0.000289
233,1.8675,0.004785,0.000254
234,1.8725,0.004811,0.00023
235,1.8775,0.004803,0.000258
236,1.8825,0.004802,0.000281
237,1.8875,0.004841,0.000198
238,1.8925,0.004838,0.000176
239,1.8975,0.004758,0.000243
240,1.9025,0.004733,0.000269
241,1.9075,0.00473,0.000309
242,1.9125,0.004702,0.000356
243,1.9175,0.00456,0.000415
244,1.9225,0.004567,0.000345
245,1.9275,0.004579,0.000298
246,1.9325,0.004475,0.000358
247,1.9375,0.004398,0.00043
248,1.9425,0.004414,0.000323
249,1.9475,0.004355,0.000305
250,1.9525,0.00429,0.0003
251,1.9575,0.004281,0.000235
252,1.9625,0.004301,0.000177
253,1.9675,0.004316,0.000143
254,1.9725,0.00419,0.000209
255,1.9775,0.004196,0.000238
256,1.9825,0.004157,0.000282
257,1.9875,0.004164,0.000307
258,1.9925,0.00422,0.000322
259,1.9975,0.004211,0.000336
260,2.0025,0.004245,0.000272
261,2.0075,0.004296,0.000239
262,2.0125,0.004304,0.000238
263,2.0175,0.004293,0.000271
264,2.0225,0.004288,0.000325
265,2.0275,0.004253,0.000372
266,2.0325,0.004232,0.00043
267,2.0375,0.00426,0.000392
268,2.0425,0.004251,0.000403
269,2.0475,0.004293,0.000385
270,2.0525,0.004334,0.000269
271,2.0575,0.004352,0.000225
272,2.0625,0.004342,0.000204
273,2.0675,0.00439,0.000195
274,2.0725,0.004356,0.000204
275,2.0775,0.004318,0.000227
276,2.0825,0.004371,0.000235
277,2.0875,0.004393,0.000198
278,2.0925,0.00447,0.000153
279,2.0975,0.00454,0.000108
280,2.1025,0.004524,0.000131
281,2.1075,0.004523,0.000117
282,2.1125,0.00451,0.000149
283,2.1175,0.004548,0.000129
284,2.1225,0.004645,9.3e-05
285,2.1275,0.004707,9e-05
286,2.1325,0.004674,0.000148
287,2.1375,0.004756,0.000116
288,2.1425,0.004767,0.000126
289,2.1475,0.004744,0.000155
290,2.1525,0.004799,0.000145
291,2.1575,0.004792,0.000125
292,2.1625,0.004695,0.000168
293,2.1675,0.004685,0.000174
294,2.1725,0.004667,0.000183
295,2.1775,0.0046,0.000228
296,2.1825,0.004672,0.000233
297,2.1875,0.004678,0.000231
298,2.1925,0.004683,0.000215
299,2.1975,0.004654,0.000169
300,2.2025,0.004646,0.000174
301,2.2075,0.004612,0.000252
302,2.2125,0.004586,0.000267
303,2.2175,0.004582,0.000315
304,2.2225,0.00463,0.000258
305,2.2275,0.004663,0.000156
306,2.2325,0.004576,0.000168
307,2.2375,0.004583,0.000137
308,2.2425,0.004551,0.000182
309,2.2475,0.004411,0.000318
310,2.2525,0.004263,0.000372
311,2.2575,0.004249,0.000361
312,2.2625,0.004222,0.000182
313,2.2675,0.004056,0.000205
314,2.2725,0.004047,0.000229
315,2.2775,0.004043,0.000274
316,2.2825,0.004002,0.00025
317,2.2875,0.004092,0.000219
318,2.2925,0.0041,0.000194
319,2.2975,0.004114,0.000186
320,2.3025,0.004152,0.000257
321,2.3075,0.004177,0.000268
322,2.3125,0.004165,0.000206
323,2.3175,0.004178,0.000164
324,2.3225,0.004231,0.000112
325,2.3275,0.004253,7e-05
326,2.3325,0.004232,0.000131
327,2.3375,0.004209,0.000182
328,2.3425,0.004224,0.000293
329,2.3475,0.004291,0.000312
330,2.3525,0.004344,0.000283
331,2.3575,0.004303,0.000357
332,2.3625,0.004321,0.000352
333,2.3675,0.00429,0.000452
334,2.3725,0.0043,0.000488
335,2.3775,0.004315,0.00048
336,2.3825,0.004311,0.000329
337,2.3875,0.004301,0.000318
338,2.3925,0.004298,0.000273
339,2.3975,0.004339,0.000256
340,2.4025,0.004321,0.00026
341,2.4075,0.004338,0.000247
342,2.4125,0.004229,0.000354
343,2.4175,0.004311,0.000359
344,2.4225,0.004353,0.000282
345,2.4275,0.004014,0.000343
346,2.4325,0.004304,0.00028
347,2.4375,0.00426,0.000308
348,2.4425,0.004039,0.000315
349,2.4475,0.004091,0.000305
350,2.4525,0.004151,0.000255
351,2.4575,0.004088,0.000237
352,2.4625,0.004065,0.00023
353,2.4675,0.004025,0.000261
354,2.4725,0.004031,0.000213
355,2.4775,0.003936,0.000226
356,2.4825,0.004004,0.000237
357,2.4875,0.004024,0.000299
358,2.4925,0.004039,0.000277
359,2.4975,0.004079,0.000269
360,2.5025,0.004062,0.000234
361,2.5075,0.003953,0.00031
362,2.5125,0.003952,0.000344
363,2.5175,0.004001,0.000302
364,2.5225,0.004166,0.000231
365,2.5275,0.004202,0.00024
366,2.5325,0.004131,0.000238
367,2.5375,0.004016,0.000291
368,2.5425,0.004013,0.0003
369,2.5475,0.004082,0.000272
370,2.5525,0.004149,0.000323
371,2.5575,0.004118,0.000319
372,2.5625,0.004135,0.000333
373,2.5675,0.004227,0.000293
374,2.5725,0.004284,0.000255
375,2.5775,0.004312,0.000238
376,2.5825,0.004262,0.00021
377,2.5875,0.004274,0.000206
378,2.5925,0.004258,0.000231
379,2.5975,0.004343,0.000254
380,2.6025,0.004422,0.000212
381,2.6075,0.004461,0.000216
382,2.6125,0.004388,0.000232
383,2.6175,0.004329,0.000282
384,2.6225,0.003879,0.000529
385,2.6275,0.003757,0.000947
386,2.6325,0.00378,0.000905
387,2.6375,0.004143,0.00056
388,2.6425,0.004221,0.000485
389,2.6475,0.004282,0.000393
390,2.6525,0.004161,0.000488
391,2.6575,0.004104,0.000453
392,2.6625,0.004046,0.000529
393,2.6675,0.004035,0.000423
394,2.6725,0.003988,0.000376
395,2.6775,0.003928,0.000234
396,2.6825,0.003664,0.000328
397,2.6875,0.003563,0.000276
398,2.6925,0.003507,0.000335
399,2.6975,0.003159,0.000295
400,2.7025,0.003045,0.000223
401,2.7075,0.003063,0.00021
402,2.7125,0.003144,0.000207
403,2.7175,0.00306,0.000274
404,2.7225,0.003039,0.000277
405,2.7275,0.002961,0.000247
406,2.7325,0.002945,0.000266
407,2.7375,0.002802,0.000314
408,2.7425,0.002606,0.000187
409,2.7475,0.002561,0.000136
410,2.7525,0.002404,0.000235
411,2.7575,0.002199,0.000128
412,2.7625,0.002176,0.000103
413,2.7675,0.001943,0.000198
414,2.7725,0.00178,0.000151
415,2.7775,0.001701,0.000163
416,2.7825,0.00149,0.000142
417,2.7875,0.001429,0.000117
418,2.7925,0.001316,0.000169
419,2.7975,0.001055,0.000104
420,2.8025,0.001015,0.000166
421,2.8075,0.000896,0.000107
422,2.8125,0.000775,7.7e-05
423,2.8175,0.0007,0.000117
424,2.8225,0.000648,7.1e-05
425,2.8275,0.000552,6.7e-05
426,2.8325,0.000504,5.4e-05
