,um,reflectance,uncertainty
427,2.8375,0.00041,5.3e-05
428,2.8425,0.000368,5.7e-05
429,2.8475,0.000322,9.7e-05
430,2.8525,0.000255,5.3e-05
431,2.8575,0.00023,7e-05
432,2.8625,0.000233,4.8e-05
433,2.8675,0.000201,2e-06
434,2.8725,0.000168,1.3e-05
435,2.8775,0.00016,1.4e-05
436,2.8825,0.000132,3.8e-05
437,2.8875,0.00012,3.1e-05
438,2.8925,0.00011,2.4e-05
439,2.8975,0.000106,3e-06
440,2.9025,0.000134,7e-06
441,2.9075,0.000113,1.1e-05
442,2.9125,0.000105,3.2e-05
443,2.9175,9.2e-05,4.6e-05
444,2.9225,9.2e-05,4.9e-05
445,2.9275,7.5e-05,3.7e-05
446,2.9325,6.7e-05,1.4e-05
447,2.9375,0.0001,4e-06
448,2.9425,0.000107,3.6e-05
449,2.9475,0.000142,4.4e-05
450,2.9525,0.00013,6.7e-05
451,2.9575,0.000105,6.5e-05
452,2.9625,8e-05,5.5e-05
453,2.9675,6.6e-05,4e-05
454,2.9725,5.9e-05,2.9e-05
455,2.9775,8.3e-05,5e-05
456,2.9825,0.000127,8.8e-05
457,2.9875,0.000137,9.2e-05
458,2.9925,9e-05,7.4e-05
459,2.9975,8.2e-05,6.4e-05
460,3.0025,6.9e-05,4.4e-05
461,3.0075,0.0001,4.8e-05
462,3.0125,0.000104,3.7e-05
463,3.0175,9.8e-05,2.7e-05
464,3.0225,8.8e-05,5e-05
465,3.0275,7e-05,2.8e-05
466,3.0325,9.3e-05,5.5e-05
467,3.0375,0.000105,5.6e-05
468,3.0425,0.000136,3e-06
469,3.0475,0.000231,3.3e-05
470,3.0525,0.000159,5.9e-05
471,3.0575,0.000251,8e-05
472,3.0625,0.000254,5.6e-05
473,3.0675,0.000166,4.1e-05
474,3.0725,6.2e-05,3.4e-05
475,3.0775,5.6e-05,3e-05
476,3.0825,6.2e-05,3.4e-05
477,3.0875,0.000105,3.8e-05
478,3.0925,5.7e-05,3e-05
479,3.0975,0.0001,7e-05
480,3.1025,3.2e-05,5.1e-05
481,3.1075,3.5e-05,2.1e-05
482,3.1125,9.7e-05,4.1e-05
483,3.1175,0.000149,9.4e-05
484,3.1225,0.000192,8e-05
485,3.1275,0.000148,5.7e-05
486,3.1325,0.00019,3.2e-05
487,3.1375,0.000188,5.3e-05
488,3.1425,0.000118,5.5e-05
489,3.1475,9.4e-05,2.5e-05
490,3.1525,0.000107,5.7e-05
491,3.1575,0.000161,6.9e-05
492,3.1625,0.000217,3.6e-05
493,3.1675,0.000239,5.7e-05
494,3.1725,0.000201,7.8e-05
495,3.1775,0.000129,3.6e-05
496,3.1825,0.000143,1.7e-05
497,3.1875,0.000211,4.7e-05
498,3.1925,0.000219,6.3e-05
499,3.1975,0.00027,0.000109
500,3.2025,0.000236,8.6e-05
501,3.2075,0.000223,8.6e-05
502,3.2125,0.000191,6.2e-05
503,3.2175,0.000187,5.9e-05
504,3.2225,0.000243,4e-05
505,3.2275,0.000256,5.3e-05
506,3.2325,0.000264,4.9e-05
507,3.2375,0.000208,4.4e-05
508,3.2425,0.000223,3.8e-05
509,3.2475,0.000266,5.2e-05
510,3.2525,0.000278,3.7e-05
511,3.2575,0.000328,5.9e-05
512,3.2625,0.000383,7.1e-05
513,3.2675,0.000396,7.5e-05
514,3.2725,0.00038,8.2e-05
515,3.2775,0.000334,1.8e-05
516,3.2825,0.000379,6.1e-05
517,3.2875,0.000437,0.000112
518,3.2925,0.000501,0.000104
519,3.2975,0.000527,9.3e-05
520,3.3025,0.000503,6.1e-05
521,3.3075,0.000448,0.000121
522,3.3125,0.000486,6.8e-05
523,3.3175,0.000507,4e-05
524,3.3225,0.000474,6.8e-05
525,3.3275,0.000483,6e-05
526,3.3325,0.00053,4.6e-05
527,3.3375,0.000546,5e-05
528,3.3425,0.000548,5.8e-05
529,3.3475,0.000575,4.7e-05
530,3.3525,0.000516,3.4e-05
531,3.3575,0.000501,1.2e-05
532,3.3625,0.000486,1.9e-05
533,3.3675,0.00053,5.8e-05
534,3.3725,0.000521,1.1e-05
535,3.3775,0.000478,4.6e-05
536,3.3825,0.000475,6.6e-05
537,3.3875,0.00059,3.9e-05
538,3.3925,0.000663,9.7e-05
539,3.3975,0.000615,5.3e-05
540,3.4025,0.000564,1.8e-05
541,3.4075,0.000597,4.8e-05
542,3.4125,0.000661,6e-06
543,3.4175,0.000643,7e-06
544,3.4225,0.000688,6.3e-05
545,3.4275,0.000701,0.000147
546,3.4325,0.000712,0.000126
547,3.4375,0.000783,7.9e-05
548,3.4425,0.000727,7.2e-05
549,3.4475,0.00077,4.8e-05
550,3.4525,0.000763,9e-05
551,3.4575,0.000678,2.4e-05
552,3.4625,0.000721,7.7e-05
553,3.4675,0.000794,7.5e-05
554,3.4725,0.000641,5.6e-05
555,3.4775,0.000591,3.4e-05
556,3.4825,0.000743,0.000118
557,3.4875,0.000722,9.6e-05
558,3.4925,0.000759,3.5e-05
559,3.4975,0.000742,7.9e-05
560,3.5025,0.000843,0.00019
561,3.5075,0.000859,0.000124
562,3.5125,0.000859,0.000126
563,3.5175,0.000787,9.4e-05
564,3.5225,0.000756,8.5e-05
565,3.5275,0.000862,0.000147
566,3.5325,0.000818,0.000114
567,3.5375,0.000774,9.4e-05
568,3.5425,0.000704,0.000105
569,3.5475,0.000799,0.000124
570,3.5525,0.00086,5.2e-05
571,3.5575,0.000984,0.000112
572,3.5625,0.001015,3.2e-05
573,3.5675,0.001082,4.1e-05
574,3.5725,0.00099,6.6e-05
575,3.5775,0.001015,7.4e-05
576,3.5825,0.001002,0.000177
577,3.5875,0.001053,0.000233
578,3.5925,0.001198,0.000286
579,3.5975,0.00122,0.000302
580,3.6025,0.00114,0.000143
581,3.6075,0.00107,8.8e-05
582,3.6125,0.001079,0.000117
583,3.6175,0.000962,3.4e-05
584,3.6225,0.001153,0.00011
585,3.6275,0.001293,4.9e-05
586,3.6325,0.001298,3.7e-05
587,3.6375,0.001177,4.7e-05
588,3.6425,0.001246,3.3e-05
589,3.6475,0.001293,0.00013
590,3.6525,0.001227,0.00031
591,3.6575,0.001272,0.000274
592,3.6625,0.001271,0.000143
593,3.6675,0.001113,2.1e-05
594,3.6725,0.001081,7.3e-05
595,3.6775,0.001045,0.000109
596,3.6825,0.001121,0.000124
597,3.6875,0.00118,7e-05
598,3.6925,0.001071,3.5e-05
599,3.6975,0.001101,1.1e-05
600,3.7025,0.00119,4.4e-05
601,3.7075,0.001222,5.4e-05
602,3.7125,0.001297,6.8e-05
603,3.7175,0.001293,9.7e-05
604,3.7225,0.000993,6.5e-05
605,3.7275,0.001022,4.6e-05
606,3.7325,0.001089,0.000148
607,3.7375,0.001333,6.4e-05
608,3.7425,0.001324,0.000102
609,3.7475,0.001258,4e-05
610,3.7525,0.001227,0.0001
611,3.7575,0.001158,4.8e-05
612,3.7625,0.001151,8.9e-05
613,3.7675,0.001124,7.6e-05
614,3.7725,0.001168,4.2e-05
615,3.7775,0.001131,2.1e-05
616,3.7825,0.001127,9.1e-05
617,3.7875,0.001122,0.000143
618,3.7925,0.001187,1.1e-05
619,3.7975,0.001135,0.000117
620,3.8025,0.001139,0.000137
621,3.8075,0.001024,0.00015
622,3.8125,0.001032,2e-05
623,3.8175,0.001085,4.1e-05
624,3.8225,0.001117,1.6e-05
625,3.8275,0.001169,2.2e-05
626,3.8325,0.001205,3.5e-05
627,3.8375,0.001035,5.1e-05
628,3.8425,0.000951,0.000137
629,3.8475,0.001037,8.6e-05
630,3.8525,0.001017,5.8e-05
631,3.8575,0.00109,3.7e-05
632,3.8625,0.001067,3e-05
633,3.8675,0.000907,0.000161
634,3.8725,0.000853,0.000123
635,3.8775,0.000917,0.000274
636,3.8825,0.001044,0.000243
637,3.8875,0.001197,0.000164
638,3.8925,0.001151,0.00014
639,3.8975,0.001045,0.000235
640,3.9025,0.00094,0.000105
641,3.9075,0.000914,0.0001
642,3.9125,0.000975,0.00017
643,3.9175,0.000972,0.000156
644,3.9225,0.001128,0.000119
645,3.9275,0.001113,9.8e-05
646,3.9325,0.001094,5.8e-05
647,3.9375,0.000991,3.5e-05
648,3.9425,0.001033,0.000217
649,3.9475,0.001163,0.000158
650,3.9525,0.001065,0.000202
651,3.9575,0.00106,0.000255
652,3.9625,0.000991,0.000107
653,3.9675,0.000984,8.9e-05
654,3.9725,0.000874,7.8e-05
655,3.9775,0.000959,8e-05
656,3.9825,0.000965,9.3e-05
657,3.9875,0.001055,0.000119
658,3.9925,0.001265,5.4e-05
659,3.9975,0.00112,0.000144
660,4.0025,0.001172,0.000199
661,4.0075,0.000973,0.00018
662,4.0125,0.00103,7.5e-05
663,4.0175,0.001226,0.000146
664,4.0225,0.001198,0.000211
665,4.0275,0.00112,0.000166
666,4.0325,0.001235,9.1e-05
667,4.0375,0.001249,0.000128
668,4.0425,0.001187,7.4e-05
669,4.0475,0.001087,0.000116
670,4.0525,0.001124,0.000166
671,4.0575,0.000945,5.2e-05
672,4.0625,0.001007,2.2e-05
673,4.0675,0.001188,0.000104
674,4.0725,0.001069,0.000253
675,4.0775,0.001005,0.000224
676,4.0825,0.00094,0.000178
677,4.0875,0.000936,0.000181
678,4.0925,0.001069,0.000154
679,4.0975,0.001148,0.000136
680,4.1025,0.001109,7.5e-05
681,4.1075,0.00097,0.000183
682,4.1125,0.001051,9.1e-05
683,4.1175,0.000947,0.000172
684,4.1225,0.00102,0.000158
685,4.1275,0.001235,0.000355
686,4.1325,0.001232,0.000186
687,4.1375,0.001206,0.000124
688,4.1425,0.001182,3.6e-05
689,4.1475,0.001163,3.3e-05
690,4.1525,0.001182,5.5e-05
691,4.1575,0.001142,0.000132
692,4.1625,0.001112,0.00013
693,4.1675,0.001153,0.000151
694,4.1725,0.001233,2.8e-05
695,4.1775,0.001281,0.000135
696,4.1825,0.001197,0.000142
697,4.1875,0.000999,5.3e-05
698,4.1925,0.000927,9.1e-05
699,4.1975,0.000821,0.000158
700,4.2025,0.00117,0.000192
701,4.2075,0.001138,0.000386
702,4.2125,0.000993,0.000467
703,4.2175,0.000938,0.000375
704,4.2225,0.000688,0.000212
705,4.2275,0.000831,0.000226
706,4.2325,0.000675,0.000186
707,4.2375,0.000499,0.000197
708,4.2425,0.000287,0.000255
709,4.2475,0.000143,0.000124
710,4.2525,4.3e-05,3.1e-05
711,4.2575,0.000152,6.3e-05
712,4.2625,0.00041,0.000243
713,4.2675,0.000257,0.00011
714,4.2725,0.000244,0.000211
715,4.2775,0.000417,0.000239
716,4.2825,0.000427,0.000132
717,4.2875,0.000558,8.8e-05
718,4.2925,0.000846,0.000164
719,4.2975,0.000929,9.6e-05
720,4.3025,0.001083,0.00016
721,4.3075,0.001069,5.2e-05
722,4.3125,0.001063,6.6e-05
723,4.3175,0.000997,0.000173
724,4.3225,0.001573,0.000254
725,4.3275,0.001581,0.000266
726,4.3325,0.001529,4.9e-05
727,4.3375,0.001515,0.000161
728,4.3425,0.001429,4.6e-05
729,4.3475,0.001423,0.00013
730,4.3525,0.001316,0.000105
731,4.3575,0.001239,0.000191
732,4.3625,0.001047,0.000317
733,4.3675,0.001356,0.000156
734,4.3725,0.001322,0.000234
735,4.3775,0.00117,6.3e-05
736,4.3825,0.001066,0.000179
737,4.3875,0.00105,0.000302
738,4.3925,0.001103,0.000305
739,4.3975,0.000949,0.000263
740,4.4025,0.001083,0.00044
741,4.4075,0.001298,0.00067
742,4.4125,0.001444,0.000685
743,4.4175,0.001235,0.000287
744,4.4225,0.001073,0.000283
745,4.4275,0.000883,0.000111
746,4.4325,0.000976,0.000287
747,4.4375,0.000826,0.000243
748,4.4425,0.000767,0.000245
749,4.4475,0.000828,0.000196
750,4.4525,0.001124,0.000464
751,4.4575,0.000988,0.000294
752,4.4625,0.000763,0.00051
753,4.4675,0.000851,0.000233
754,4.4725,0.000931,5.9e-05
755,4.4775,0.000821,0.000255
756,4.4825,0.000791,3.7e-05
757,4.4875,0.000759,0.000179
758,4.4925,0.000872,0.000404
759,4.4975,0.000772,0.000367
760,4.5025,0.000769,8.7e-05
761,4.5075,0.000882,0.000185
762,4.5125,0.000737,0.000422
763,4.5175,0.000904,0.000329
764,4.5225,0.001121,0.000199
765,4.5275,0.001166,0.000352
766,4.5325,0.00087,0.000403
767,4.5375,0.000899,0.000291
768,4.5425,0.000945,0.000201
769,4.5475,0.000842,0.000311
770,4.5525,0.000566,0.000108
771,4.5575,0.00086,0.000213
772,4.5625,0.000569,0.000132
773,4.5675,0.000728,0.000177
774,4.5725,0.000885,0.000131
775,4.5775,0.000919,0.000165
776,4.5825,0.000749,0.000205
777,4.5875,0.000581,2.7e-05
778,4.5925,0.000749,4.6e-05
779,4.5975,0.001008,0.000209
780,4.6025,0.000697,3e-05
781,4.6075,0.000847,0.000184
782,4.6125,0.000962,0.000201
783,4.6175,0.000975,0.000237
784,4.6225,0.000995,0.000354
785,4.6275,0.000712,0.000224
786,4.6325,0.000452,0.000107
787,4.6375,0.00099,0.000101
788,4.6425,0.000767,0.000188
789,4.6475,0.000873,0.000248
790,4.6525,0.000911,0.000495
791,4.6575,0.000986,0.000243
792,4.6625,0.000794,0.000225
793,4.6675,0.000493,9.6e-05
794,4.6725,0.000643,0.000349
795,4.6775,0.000663,0.000306
796,4.6825,0.00063,0.000161
797,4.6875,0.000721,0.000374
798,4.6925,0.000527,0.000212
799,4.6975,0.001016,0.000165
800,4.7025,0.000988,0.00024
801,4.7075,0.000824,1.4e-05
802,4.7125,0.000725,0.000117
803,4.7175,0.000698,0.000291
804,4.7225,0.000784,8.3e-05
805,4.7275,0.001093,0.000172
806,4.7325,0.00082,6.8e-05
807,4.7375,0.000871,0.000212
808,4.7425,0.000996,0.000403
809,4.7475,0.001189,0.000397
810,4.7525,0.00152,0.000268
811,4.7575,0.001467,0.000201
812,4.7625,0.001057,0.000145
813,4.7675,0.001274,0.000108
814,4.7725,0.00181,0.000525
815,4.7775,0.001102,0.000305
816,4.7825,0.000832,0.000138
817,4.7875,0.001592,0.000286
818,4.7925,0.001749,0.000305
819,4.7975,0.001418,0.000372
820,4.8025,0.001401,0.000404
821,4.8075,0.001262,0.000408
822,4.8125,0.001573,0.000327
823,4.8175,0.001604,0.000891
824,4.8225,0.002117,0.000353
825,4.8275,0.001667,0.000549
826,4.8325,0.001089,0.000786
827,4.8375,0.001528,0.000524
828,4.8425,0.001974,0.000961
829,4.8475,0.001933,0.000722
830,4.8525,0.002035,0.000817
831,4.8575,0.002078,0.001062
832,4.8625,0.001902,0.000778
833,4.8675,0.001973,0.00067
834,4.8725,0.001691,0.0005
835,4.8775,0.001508,0.00056
836,4.8825,0.002194,0.001146
837,4.8875,0.001738,0.00093
838,4.8925,0.001929,0.000199
839,4.8975,0.001984,0.00044
840,4.9025,0.0019,0.00059
841,4.9075,0.001617,0.000382
842,4.9125,0.001488,0.000615
843,4.9175,0.001486,0.00016
844,4.9225,0.001709,0.000542
845,4.9275,0.001404,0.00019
846,4.9325,0.001639,0.000643
847,4.9375,0.001638,0.000478
848,4.9425,0.001539,0.000299
849,4.9475,0.001193,0.000302
850,4.9525,0.001419,0.000518
851,4.9575,0.001308,0.000122
852,4.9625,0.0019,0.00059
853,4.9675,0.001728,0.000755
854,4.9725,0.00133,0.00039
855,4.9775,0.001732,0.000685
856,4.9825,0.001438,0.000891
857,4.9875,0.001724,0.000581
858,4.9925,0.001478,0.000586
859,4.9975,0.001693,0.00072
